date,cases,new_cases,deaths
2021-04-08,31017741,81582,559608
2021-04-07,30937283,80458,558606
2021-04-06,30864193,73090,556035
2021-04-05,30802221,61972,555126
2021-04-04,30725627,76594,554596
2021-04-03,30688804,36823,554324
2021-04-02,30624668,64136,553571
2021-04-01,30556079,68589,552615
2021-03-31,30478886,77193,551658
2021-03-30,30410950,67936,550523
2021-03-29,30348716,62234,549576
2021-03-28,30277977,70739,548891
2021-03-27,30233462,44515,548401
2021-03-26,30172762,60700,547621
2021-03-25,30098263,74499,546361
2021-03-24,30029147,69116,545091
2021-03-23,29949244,79903,543501
2021-03-22,29892498,56746,542608
2021-03-21,29837782,54716,541960
2021-03-20,29803589,34193,541512
2021-03-19,29749164,54425,540740
2021-03-18,29688541,60623,539226
2021-03-17,29628071,60470,537668
2021-03-16,29569140,58931,536491
2021-03-15,29514609,54531,535246
2021-03-14,29457445,57164,534497
2021-03-13,29419456,37989,533928
2021-03-12,29369899,49557,532054
2021-03-11,29305733,64166,530349
2021-03-10,29243346,62387,528825
2021-03-09,29185151,58195,527351
2021-03-08,29129252,55899,525466
2021-03-07,29034739,94513,524646
2021-03-06,28994675,40064,523970
2021-03-05,28938090,56585,522511
2021-03-04,28872395,65695,520028
2021-03-03,28805113,67282,518079
2021-03-02,28738501,66612,515710
2021-03-01,28680857,57644,514404
2021-02-28,28624161,56696,512979
2021-02-27,28573256,50905,511850
2021-02-26,28510582,62674,510283
2021-02-25,28432264,78318,508107
2021-02-24,28354383,77881,505642
2021-02-23,28280189,74194,502432
2021-02-22,28208276,71913,500104
2021-02-21,28148810,59466,498650
2021-02-20,28093630,55180,497403
2021-02-19,28023910,69720,495572
2021-02-18,27945898,78012,492951
2021-02-17,27874107,71791,490326
2021-02-16,27803946,70161,487855
2021-02-15,27739406,64540,486148
2021-02-14,27684134,55272,485154
2021-02-13,27620354,63780,484073
2021-02-12,27535702,84652,480701
2021-02-11,27436075,99627,475238
2021-02-10,27330435,105640,471360
2021-02-09,27235460,94975,468106
2021-02-08,27139070,96390,464936
2021-02-07,27046088,92982,463353
2021-02-06,26958807,87281,462052
2021-02-05,26853860,104947,459390
2021-02-04,26724359,129501,455820
2021-02-03,26598723,125636,450703
2021-02-02,26478540,120183,446860
2021-02-01,26363284,115256,443249
2021-01-31,26221430,141854,441299
2021-01-30,26107635,113795,439435
2021-01-29,25973835,133800,436794
2021-01-28,25809220,164615,433194
2021-01-27,25643045,166175,429326
2021-01-26,25487275,155770,425224
2021-01-25,25336637,150638,421126
2021-01-24,25180061,156576,419219
2021-01-23,25050385,129676,417404
2021-01-22,24882468,167917,414082
2021-01-21,24690903,191565,410351
2021-01-20,24500421,190482,406216
2021-01-19,24314933,185488,401836
2021-01-18,24127989,186944,399065
2021-01-17,23986856,141133,397624
2021-01-16,23816762,170094,395894
2021-01-15,23614569,202193,392553
2021-01-14,23374716,239853,388804
2021-01-13,23135194,239522,384824
2021-01-12,22905869,229325,380894
2021-01-11,22675892,229977,376488
2021-01-10,22449576,226316,374440
2021-01-09,22241281,208295,372663
2021-01-08,21989362,251919,369404
2021-01-07,21688585,300777,365509
2021-01-06,21408251,280334,361396
2021-01-05,21152285,255966,357432
2021-01-04,20917269,235016,353743
2021-01-03,20665439,251830,351694
2021-01-02,20463659,201780,350343
2021-01-01,20172049,291610,347970
2020-12-31,20024801,147248,346050
2020-12-30,19793777,231024,342588
2020-12-29,19564828,228949,338780
2020-12-28,19363798,201030,335152
2020-12-27,19174788,189010,333253
2020-12-26,19022699,152089,332023
2020-12-25,18805838,216861,330377
2020-12-24,18704907,100931,329248
2020-12-23,18511396,193511,326424
2020-12-22,18283633,227763,323012
2020-12-21,18081996,201637,319773
2020-12-20,17880478,201518,317810
2020-12-19,17700567,179911,316381
2020-12-18,17506662,193905,313820
2020-12-17,17255472,251190,310950
2020-12-16,17017763,237709,307652
2020-12-15,16772936,244827,304041
2020-12-14,16569783,203153,301016
2020-12-13,16368898,200885,299338
2020-12-12,16184679,184219,297981
2020-12-11,15977147,207532,295726
2020-12-10,15696634,280513,292771
2020-12-09,15471409,225225,289830
2020-12-08,15251693,219716,286674
2020-12-07,15031979,219714,283853
2020-12-06,14827456,204523,282319
2020-12-05,14655535,171921,281208
2020-12-04,14449827,205708,279018
2020-12-03,14218459,231368,276381
2020-12-02,14000721,217738,273525
2020-12-01,13799549,201172,270639
2020-11-30,13615321,184228,268031
2020-11-29,13447663,167658,266761
2020-11-28,13311541,136122,265943
2020-11-27,13160133,151408,264751
2020-11-26,12954294,205839,263339
2020-11-25,12851300,102994,262161
2020-11-24,12670710,180590,259848
2020-11-23,12492852,177858,257639
2020-11-22,12313229,179623,256601
2020-11-21,12172435,140794,255758
2020-11-20,12000502,171933,254333
2020-11-19,11801643,198859,252376
2020-11-18,11614135,187508,250415
2020-11-17,11441855,172280,248491
2020-11-16,11280224,161631,246884
2020-11-15,11113661,166563,246088
2020-11-14,10978475,135186,245465
2020-11-13,10819442,159033,244255
2020-11-12,10637946,181496,242865
2020-11-11,10474295,163651,241693
2020-11-10,10331417,142878,240262
2020-11-09,10191667,139750,238798
2020-11-08,10061218,130449,238053
2020-11-07,9957805,103413,237589
2020-11-06,9831874,125931,236582
2020-11-05,9699051,132823,235334
2020-11-04,9577702,121349,234226
2020-11-03,9469624,108078,232610
2020-11-02,9377208,92416,231480
2020-11-01,9283202,94006,230940
2020-10-31,9209007,74195,230512
2020-10-30,9124800,84207,229674
2020-10-29,9024932,99868,228706
2020-10-28,8934263,90669,227702
2020-10-27,8852381,81882,226684
2020-10-26,8777994,74387,225701
2020-10-25,8703356,74638,225164
2020-10-24,8643641,59715,224825
2020-10-23,8565062,78579,223953
2020-10-22,8479765,85297,223023
2020-10-21,8404635,75130,222195
2020-10-20,8340398,64237,220987
2020-10-19,8279804,60594,220058
2020-10-18,8214364,65440,219541
2020-10-17,8166482,47882,219154
2020-10-16,8113721,52761,218476
2020-10-15,8043257,70464,217585
2020-10-14,7977904,65353,216792
2020-10-13,7918051,59853,215783
2020-10-12,7863658,54393,214957
2020-10-11,7815642,48016,214606
2020-10-10,7770859,44783,214187
2020-10-09,7719211,51648,213595
2020-10-08,7660249,58962,212680
2020-10-07,7603867,56382,211752
2020-10-06,7550850,53017,210756
2020-10-05,7507988,42862,210035
2020-10-04,7445575,62413,209606
2020-10-03,7410512,35063,209273
2020-10-02,7362733,47779,208564
2020-10-01,7309153,53580,207699
2020-09-30,7262735,46418,206852
2020-09-29,7220677,42058,205878
2020-09-28,7176980,43697,204952
2020-09-27,7139620,37360,204602
2020-09-26,7102322,37298,204335
2020-09-25,7059627,42695,203566
2020-09-24,7005046,54581,202713
2020-09-23,6959842,45204,201828
2020-09-22,6918293,41549,200738
2020-09-21,6880902,37391,199797
2020-09-20,6825950,54952,199367
2020-09-19,6789594,36356,199154
2020-09-18,6747783,41811,198484
2020-09-17,6698896,48887,197535
2020-09-16,6653586,45310,196686
2020-09-15,6614318,39268,195689
2020-09-14,6575101,39217,194408
2020-09-13,6538214,36887,193958
2020-09-12,6504871,33343,193559
2020-09-11,6465767,39104,192858
2020-09-10,6418200,47567,191631
2020-09-09,6380139,38061,190716
2020-09-08,6346807,33332,189541
2020-09-07,6317865,28942,189083
2020-09-06,6292699,25166,188820
2020-09-05,6262701,29998,188409
2020-09-04,6220448,42253,187697
2020-09-03,6168347,52101,186717
2020-09-02,6121950,46397,185639
2020-09-01,6089506,32444,184563
2020-08-31,6045457,44049,183472
2020-08-30,6008970,36487,182984
2020-08-29,5975541,33429,182610
2020-08-28,5930932,44609,181739
2020-08-27,5884368,46564,180729
2020-08-26,5838756,45612,179603
2020-08-25,5793437,45319,178410
2020-08-24,5754254,39183,177197
2020-08-23,5713850,40404,176693
2020-08-22,5681517,32333,176247
2020-08-21,5636491,45026,175297
2020-08-20,5587462,49029,174136
2020-08-19,5541433,46029,173093
2020-08-18,5498420,43013,171798
2020-08-17,5455187,43233,170449
2020-08-16,5417664,37523,169914
2020-08-15,5375527,42137,169400
2020-08-14,5324784,50743,168341
2020-08-13,5265307,59477,167165
2020-08-12,5211246,54061,165952
2020-08-11,5156968,54278,164474
2020-08-10,5103611,53357,163023
2020-08-09,5056438,47173,162486
2020-08-08,5007958,48480,161947
2020-08-07,4952718,55240,160981
2020-08-06,4891561,61157,159625
2020-08-05,4834047,57514,158554
2020-08-04,4780324,53723,157301
2020-08-03,4726775,53549,155945
2020-08-02,4679291,47484,155337
2020-08-01,4628497,50794,154917
2020-07-31,4571669,56828,153862
2020-07-30,4502581,69088,152433
2020-07-29,4433633,68948,151172
2020-07-28,4366851,66782,149776
2020-07-27,4303735,63116,148449
2020-07-26,4244554,59181,146753
2020-07-25,4190337,54217,146313
2020-07-24,4123561,66776,145429
2020-07-23,4050036,73525,144283
2020-07-22,3980030,70006,143167
2020-07-21,3910291,69739,142031
2020-07-20,3845014,65277,140904
2020-07-19,3785126,59888,140373
2020-07-18,3722851,62275,139961
2020-07-17,3660400,62451,139186
2020-07-16,3589477,70923,138285
2020-07-15,3513790,75687,137327
2020-07-14,3445448,68342,136356
2020-07-13,3379846,65602,135402
2020-07-12,3318279,61567,134977
2020-07-11,3260474,57805,134582
2020-07-10,3199753,60721,133907
2020-07-09,3131526,68227,133079
2020-07-08,3071637,59889,132238
2020-07-07,3012182,59455,131290
2020-07-06,2958098,54084,130332
2020-07-05,2910782,47316,129941
2020-07-04,2866015,44767,129679
2020-07-03,2816009,50006,129418
2020-07-02,2758855,57154,128827
2020-07-01,2703296,55559,128104
2020-06-30,2653321,49975,127462
2020-06-29,2604932,48389,126162
2020-06-28,2565436,39496,125815
2020-06-27,2525928,39508,125544
2020-06-26,2483629,42299,125033
2020-06-25,2438101,45528,124400
2020-06-24,2396928,41173,121934
2020-06-23,2359939,36989,121167
2020-06-22,2324879,35060,120334
2020-06-21,2294413,30466,119974
2020-06-20,2268034,26379,119717
2020-06-19,2236009,32025,119171
2020-06-18,2205173,30836,118473
2020-06-17,2177114,28059,117746
2020-06-16,2151459,25655,116985
2020-06-15,2126574,24885,116216
2020-06-14,2106457,20117,115768
2020-06-13,2087327,19130,115451
2020-06-12,2061993,25334,114759
2020-06-11,2036500,25493,113980
2020-06-10,2013298,23202,113103
2020-06-09,1990446,22852,112174
2020-06-08,1971641,18805,111144
2020-06-07,1953434,18207,110422
2020-06-06,1934818,18616,110032
2020-06-05,1912302,22516,109304
2020-06-04,1883593,28709,108192
2020-06-03,1861977,21616,107184
2020-06-02,1841990,19987,106195
2020-06-01,1821199,20791,105113
2020-05-31,1799302,21897,104379
2020-05-30,1778668,20634,103775
2020-05-29,1755271,23397,102812
2020-05-28,1730723,24548,101622
2020-05-27,1708211,22512,100422
2020-05-26,1689467,18744,98937
2020-05-25,1670571,18896,98190
2020-05-24,1651471,19100,97680
2020-05-23,1631440,20031,97060
2020-05-22,1609172,22268,96010
2020-05-21,1585373,23799,94722
2020-05-20,1559640,25733,93411
2020-05-19,1536570,23070,91934
2020-05-18,1515593,20977,90414
2020-05-17,1493766,21827,89568
2020-05-16,1474752,19014,88724
2020-05-15,1451093,23659,87499
2020-05-14,1424856,26237,85906
2020-05-13,1397894,26962,84168
2020-05-12,1376749,21145,82400
2020-05-11,1354449,22300,80748
2020-05-10,1336828,17621,79766
2020-05-09,1316511,20317,78834
2020-05-08,1291643,24868,77380
2020-05-07,1263995,27648,75805
2020-05-06,1235517,28478,73847
2020-05-05,1211011,24506,71139
2020-05-04,1187302,23709,68905
2020-05-03,1165340,21962,67816
2020-05-02,1139200,26140,66485
2020-05-01,1109726,29474,64902
2020-04-30,1075756,33970,63140
2020-04-29,1045399,30357,60930
2020-04-28,1018844,26555,58416
2020-04-27,994193,24651,56022
2020-04-26,970996,23197,54580
2020-04-25,944261,26735,53327
2020-04-24,909853,34408,51360
2020-04-23,873112,36741,49228
2020-04-22,839336,33776,47059
2020-04-21,810505,28831,44688
2020-04-20,784991,25514,42016
2020-04-19,757596,27395,40179
2020-04-18,732262,25334,38659
2020-04-17,703864,28398,36708
2020-04-16,672355,31509,34419
2020-04-15,640742,31613,32070
2020-04-14,610709,30033,29318
2020-04-13,584018,26691,26613
2020-04-12,558249,25769,24849
2020-04-11,531106,27143,23168
2020-04-10,499386,31720,21084
2020-04-09,465913,33473,18821
2020-04-08,431214,34699,16701
2020-04-07,399394,31820,14616
2020-04-06,369057,30337,12382
2020-04-05,338141,30916,10856
2020-04-04,312525,25616,9488
2020-04-03,277426,35099,7932
2020-04-02,245108,32318,6541
2020-04-01,215391,29717,5325
2020-03-31,188461,26930,4304
2020-03-30,163955,24506,3368
2020-03-29,142486,21469,2718
2020-03-28,123966,18520,2300
2020-03-27,102900,21066,1770
2020-03-26,85570,17330,1353
2020-03-25,68572,16998,1054
2020-03-24,53938,14634,785
2020-03-23,43505,10433,579
2020-03-22,33073,10432,458
2020-03-21,24528,8545,360
2020-03-20,18012,6516,277
2020-03-19,12393,5619,212
2020-03-18,8350,4043,162
2020-03-17,5906,2444,117
2020-03-16,4507,1399,91
2020-03-15,3600,907,68
2020-03-14,2898,702,60
2020-03-13,2224,674,50
2020-03-12,1668,556,43
2020-03-11,1263,405,37
2020-03-10,1018,245,31
2020-03-09,748,270,26
2020-03-08,547,201,22
2020-03-07,428,119,19
2020-03-06,311,117,15
2020-03-05,228,83,12
2020-03-04,161,67,12
2020-03-03,125,36,10
2020-03-02,104,21,6
2020-03-01,88,16,3
2020-02-29,70,18,1
2020-02-28,65,5,0
2020-02-27,60,5,0
2020-02-26,60,0,0
2020-02-25,45,15,0
2020-02-24,43,2,0
2020-02-23,30,13,0
2020-02-22,30,0,0
2020-02-21,30,0,0
2020-02-20,27,3,0
2020-02-19,25,2,0
2020-02-18,25,0,0
2020-02-17,25,0,0
2020-02-16,15,10,0
2020-02-15,15,0,0
2020-02-14,15,0,0
2020-02-13,15,0,0
2020-02-12,14,1,0
2020-02-11,13,1,0
2020-02-10,13,0,0
2020-02-09,12,1,0
2020-02-08,12,0,0
2020-02-07,12,0,0
2020-02-06,12,0,0
2020-02-05,12,0,0
2020-02-04,11,1,0
2020-02-03,11,0,0
2020-02-02,11,0,0
2020-02-01,8,3,0
2020-01-31,7,1,0
2020-01-30,6,1,0
2020-01-29,5,1,0
2020-01-28,5,0,0
2020-01-27,5,0,0
2020-01-26,5,0,0
2020-01-25,3,2,0
2020-01-24,2,1,0
2020-01-23,1,1,0
2020-01-22,1,0,0
2020-01-21,1,0,0
